id,Заголовок,Пользователь,Статус
117,sequi quae est et qui qui eveniet asperiores,6,False
48,sit reprehenderit omnis quia,3,Не выполнено
12,ipsa repellendus fugit nisi,1,Выполнено
6,qui ullam ratione quibusdam voluptatem quia omnis,1,Не выполнено
116,ipsa dolores vel facilis ut,6,Выполнено
68,aut id perspiciatis voluptatem iusto,4,Не выполнено
18,dolorum est consequatur ea mollitia in culpa,1,Не выполнено
113,quia atque aliquam sunt impedit voluptatum rerum assumenda nisi,6,Не выполнено
101,explicabo enim cumque porro aperiam occaecati minima,6,Не выполнено
84,sunt veritatis ut voluptate,5,Не выполнено
21,suscipit repellat esse quibusdam voluptatem incidunt,2,Не выполнено
112,consectetur impedit quisquam qui deserunt non rerum consequuntur eius,6,Не выполнено
54,quis et est ut voluptate quam dolor,3,Выполнено
113,quia atque aliquam sunt impedit voluptatum rerum assumenda nisi,6,Не выполнено
173,harum ad aperiam quis,9,Не выполнено
157,dolorem veniam quisquam deserunt repellendus,8,Выполнено
173,harum ad aperiam quis,9,Не выполнено
